CrashID,CrashDate,CrashYear,CrashMonth,CrashHour,Latitude,Longitude,CrashSevr,CrashType,CrashTypGr,CrashAlcoh,NM_Type,NM_Age,NM_Sex,NM_Race,NM_Inj,NM_AlcDrg,NM_NumTot,NM_NumK,NM_NumA,NM_NumB,NM_NumC,NM_NumU,DrvrAge,DrvrSex,DrvrRace,DrvrVehTyp,SpeedLimit,RdClass,LightCond,Weather,County,City
106072089,2019-11-21,2019,November,7,36.022723,-78.906288,C: Possible Injury,School Bus-Related,Bus-Related,No,Pedestrian,8,Male,Hispanic,C: Possible Injury,No,1,0,0,0,1,0,34,Female,Black,Passenger Car,20 - 25 MPH,Local Street,Daylight,Clear,Durham,Durham
106073337,2019-11-20,2019,November,19,35.961905,-78.908956,B: Suspected Minor Injury,Dash,Dash / Dart-Out,Yes,Pedestrian,45,Male,Black,B: Suspected Minor Injury,"Yes - Alcohol, Impairment Suspected",1,0,0,1,0,0,52,Male,Black,Sport Utility,30 - 35 MPH,Secondary Route,Dark - Lighted Roadway,Clear,Durham,Durham
106073517,2019-11-23,2019,November,16,35.993161,-78.893391,C: Possible Injury,Standing in Roadway,Pedestrian in Roadway - Circumstances Unknown,No,Pedestrian,55,Male,Hispanic,C: Possible Injury,No,1,0,0,0,1,0,22,Female,Black,Passenger Car,30 - 35 MPH,Local Street,Daylight,Rain,Durham,Durham
106074878,2019-11-26,2019,November,18,36.006578,-78.922347,C: Possible Injury,Motorist Left Turn - Parallel Paths,Crossing Roadway - Vehicle Turning,No,Pedestrian,32,Female,White,C: Possible Injury,No,1,0,0,0,1,0,44,Male,Black,Passenger Car,30 - 35 MPH,Local Street,Dark - Roadway Not Lighted,Clear,Durham,Durham
106075494,2019-11-26,2019,November,16,35.963278,-78.907669,B: Suspected Minor Injury,Pedestrian Failed to Yield,Crossing Roadway - Vehicle Not Turning,Yes,Pedestrian,54,Male,Black,B: Suspected Minor Injury,"Yes - Alcohol, Impairment Suspected",1,0,0,1,0,0,Not coded,Unknown,Unknown,Sport Utility,30 - 35 MPH,Secondary Route,Daylight,Clear,Durham,Durham
106075498,2019-11-25,2019,November,15,35.988966,-78.887121,C: Possible Injury,Intersection - Other / Unknown,Other / Unknown - Insufficient Details,Yes,Pedestrian,61,Male,White,C: Possible Injury,"Yes - Alcohol, Impairment Suspected",1,0,0,0,1,0,Not coded,Unknown,Unknown,Unknown,30 - 35 MPH,NC Route,Daylight,Rain,Durham,Durham
106077544,2019-11-26,2019,November,17,35.998781,-78.88321,B: Suspected Minor Injury,Standing in Roadway,Pedestrian in Roadway - Circumstances Unknown,No,Pedestrian,65,Male,Black,B: Suspected Minor Injury,No,1,0,0,1,0,0,Not coded,Unknown,Unknown,Van,20 - 25 MPH,Local Street,Dark - Lighted Roadway,Clear,Durham,Durham
106081883,2019-11-25,2019,November,18,36.216467,-78.927284,B: Suspected Minor Injury,Walking Along Roadway With Traffic - From Behind,Walking Along Roadway,No,Pedestrian,60,Male,White,B: Suspected Minor Injury,No,1,0,0,1,0,0,Not coded,Unknown,Unknown,Unknown,40 - 45 MPH,Secondary Route,Dark - Roadway Not Lighted,Clear,Durham,None - Rural Crash
106081958,2019-11-03,2019,November,15,35.998156,-78.873829,C: Possible Injury,Unknown Approach Paths,Other / Unknown - Insufficient Details,No,Bicyclist,14,Male,Black,C: Possible Injury,No,1,0,0,0,1,0,67,Female,Black,Passenger Car,30 - 35 MPH,Local Street,Daylight,Clear,Durham,Durham
106085047,2019-11-20,2019,November,18,35.962127,-78.887288,C: Possible Injury,Motorist Left Turn - Perpendicular Paths,Crossing Roadway - Vehicle Turning,No,Pedestrian,31,Male,White,C: Possible Injury,No,1,0,0,0,1,0,38,Male,Hispanic,Passenger Car,30 - 35 MPH,Secondary Route,Dark - Lighted Roadway,Clear,Durham,Durham
